short_prompt,mid_prompt,long_prompt
Why was it hidden?,I followed a trail of candles that led me deeper into a place I had never seen before.,"The sky above fractured like glass, and behind it I glimpsed another world staring back at me."
Who left the message?,"The walls of the house shifted with every step I took, as if the building itself was alive.",I followed music through empty streets until I realized it was coming from my own footsteps.
How deep is the silence?,"A bird landed on my hand, and its feathers turned into pages of a forgotten book.","The room I entered expanded into infinity, each wall stretching farther the longer I looked at it."
Where did the light go?,"I saw myself sleeping in a bed, but the version of me opened its eyes and stared back.","I stood in a circle of statues, and when I blinked, they had all shifted closer to me."
What name was forgotten?,"The ocean reflected the sky like a mirror, and I couldn’t tell which way was up anymore.","A staircase led me downward, but every step felt like falling upward into the clouds."
Why does it follow me?,A whisper kept repeating my name until I realized it was coming from my own shadow.,"The stars rained down as sparks, and where they touched the ground, flowers immediately bloomed."
Who guards the passage?,"I touched a tree, and it began to glow softly, illuminating faces carved into its bark.","I held a book that whispered as I opened it, the words rearranging themselves as I read."
Is this the beginning?,"Every clock I passed showed a different time, none of them matching the rhythm of my heartbeat.","A vast tree grew in the center of the ocean, and I climbed it to touch the clouds."
What sleeps below?,"The floor beneath me turned to glass, and I saw entire cities moving in the depths below.","I entered a room where every object was made of glass, fragile yet impossibly strong."
Why won’t it answer?,"I crossed a bridge of smoke, and every step threatened to dissolve beneath my weight.","The shadows lengthened into shapes that seemed alive, reaching toward me with hands of darkness."
Where does memory end?,"The crowd around me was silent, yet I could hear their thoughts as clearly as voices.","I crossed a desert of mirrors, each one showing a different version of my journey."
What song is this?,"The path was covered in mirrors, and each reflection was of a different version of me.","The horizon curled into itself like a scroll, rewriting the sky as I walked toward it."
Who waits beyond?,"I woke up in a room where the ceiling was the sky, endless and moving.","I heard laughter coming from underground, and when I dug into the soil, I found glowing faces."
Why can’t I move?,"A figure in the distance waved, but when I approached, it melted into the horizon.","A path of floating stones led me across a void, each step vanishing as soon as I took it."
When will it fade?,"The lights flickered on and off, and each time they came back, the room had changed slightly.","The sun split into two halves, one burning red and the other glowing silver."
What do the echoes mean?,"I tried to run forward, but the ground kept looping me back to where I started.","I walked across a frozen lake, but beneath the ice, I saw people staring upward at me."
Who holds the key?,"I found a locked chest, but the key I had dissolved when I touched it.","A clock tower struck thirteen times, each chime pulling me into a deeper silence."
Why is it watching?,"The mountain I climbed grew taller the higher I went, as if it didn’t want me to reach the top.",The forest canopy opened to reveal an ocean floating above the trees.
Where does it hide?,"The stars rearranged themselves into words, but I couldn’t read their meaning before they shifted again.","I touched a broken statue, and it whispered secrets I wasn’t ready to hear."
