EXCHANGE #,SPEAKER 1 ,SPEAKER 2,EDITED,GENERATED,FILE LOCATION
3B,"Jeff asked about Dab when the maps bled blue across his desk, his desk. The papers scattered like birds while stadium lights flickered, flickered through glass that wasn't there. Under the floors, generators hummed their ancient song to walls that breathed. He kept asking about diagrams that moved like living things, seeking corners that folded inward on themselves.","Jeff asked about when the blue bled across, across his desk that was also the sky. Papers scattered while lights flickered through glass, through glass that was memory. Under floors that were also ceilings, generators sang to breathing walls, breathing walls. He kept asking about living diagrams that sought folded corners.",,,
3C,"Jeff asked when blue bled across sky-desk, sky-desk of scattered memory. Lights flickered through glass-memory while floors-ceilings held singing generators, singing generators. Walls breathed asking, asking about living corners that folded yesterday's tomorrow, tomorrow's yesterday. The diagrams sought themselves.","Jeff when blue sky scattered, scattered memory-glass while ceiling-generators sang breathing, breathing. Walls asked living corners folded tomorrow's yesterday's tomorrow. The space between questions answers never were, were never, seeking themselves in the asking of bleeding light.",,,
,,,,,
4A,"How was your life? I asked while the polycom phone crackled with static and toner dust settled on the red CONFIDENTIAL stamps scattered across my desk. The pager buzzed insistently as stale coffee grew cold in my mug, and I could hear the office clock ticking steadily above the clicking of venetian blinds.","How was your life? I asked while the polycom crackled with static and toner settled on the red stamps scattered across my desk. The pager buzzed as stale coffee grew cold, and I could hear the clock ticking above the clicking blinds—but the stamps seemed to shift slightly when I wasn't looking directly at them.",,,
4B,"How was your life? I asked while the polycom crackled and toner settled on red stamps across my desk, my desk. The pager buzzed as coffee grew cold, and the clock ticked above clicking blinds—but the stamps seemed to shift, seemed to shift when I looked away, their red ink appearing to pulse faintly.","How was your—life? I asked while the polycom crackled and toner settled on stamps across my desk, my desk, my desk. The pager buzzed as coffee grew cold, cold, and the clock ticked but the stamps shifted when I looked away, their red ink pulsing like tiny hearts bleeding through the paper.",,,
4C,"How was—how was your? I asked while something crackled and toner settled, settled on my desk, my desk that wasn't my desk. The pager buzzed cold coffee and the stamps shifted when I—when I looked but didn't look, their red ink flowing like veins beneath fluorescent lights that hummed accusations.","How—how was? I asked while crackling settled on desk that wasn't, wasn't mine, never mine. The coffee buzzed cold stamps and shifted when looked but looking, looking through me, red flowing like fluorescent accusations that hummed my name backwards through the walls.",,,
,,,,,
5A,"I asked Bob about the footnote 12 drafts and he said to check with Mark Haedicke about the pro forma reconciliations. The OCI lines didn't match what we had in the binder labeled ""FIX LATER.""","I asked Bob about the footnote drafts and he said to check with Mark about the pro forma reconciliations. The OCI lines didn't match what we had in the binder labeled ""FIX LATER"" and there was a pencil annotation that looked like someone else's handwriting.",,,
5B,"I asked Bob about the footnote and he said to check with Mark about the pro forma. The OCI lines didn't match what we had in the binder labeled ""FIX LATER"" and there was a pencil annotation that looked like someone else's handwriting, someone else's handwriting from before I started working here.","I asked Bob about the footnote and he said to check about the pro forma. The OCI lines didn't match what we had in the binder and there was a pencil annotation from someone else's handwriting, someone else's handwriting from before, from before the intercompany eliminations were supposed to be clean.",,,
5C,"I asked Bob about the footnote and he said to check about the forma. The lines didn't match what we had in the binder and there was annotation from someone else's handwriting from before, from before the eliminations, but the revenue recognition checklist keeps moving to different desks when I'm not looking.","I asked Bob about the note and he said to check the forma. The lines didn't match and there was annotation from before, from before, but the checklist keeps moving keeps moving and the deferred items show up in plug entries that weren't there yesterday weren't there yesterday.",,,
,,,,,
6A,"Someone asked about the retention memo during the morning briefing, wondering if we needed to initial the shred console logs before the quarterly review. The partner mentioned something about cleared review notes and test-of-controls tickmarks, but I wasn't sure if they meant the accounting disclosures or just the copy runs. We had been working on the off-site box barcodes all week, trying to match them with the archived files.","Someone asked about the retention memo during the morning meeting, wondering if we needed to sign the shred console reports before quarterly review. The partner mentioned something about cleared notes and test-of-controls marks, but I wasn't sure if they meant the accounting papers or just the copy runs. We had been working on the off-site box codes all week, trying to match them, match them with the archived files. The fluorescent lights seemed to flicker whenever anyone mentioned the barcodes.",,,
6B,"Someone asked about the retention papers during the morning meeting, wondering if we needed to sign the shred reports before review. The partner mentioned cleared notes and control marks, but I wasn't sure if they meant the accounting papers or the copy runs, the copy runs. We had been working on off-site codes all week, trying to match them with archived files. The lights flickered whenever anyone mentioned barcodes, and I noticed the partner's initials kept changing on the documents.","Someone asked about retention papers during the meeting, wondering if we needed to sign shred reports. The partner mentioned cleared notes and marks, but I wasn't sure about the accounting papers or runs, the runs, the runs. We had been working on codes all week, trying to match files. The lights flickered when barcodes were mentioned, and the partner's initials kept shifting on documents. I could swear the same memo appeared in three different boxes with different dates.",,,
6C,"Someone asked about papers during the meeting, wondering if we needed to sign reports. The partner mentioned notes and marks, but I wasn't sure about papers or runs, the runs, always the runs. We had been working on codes, trying to match, trying to match nothing. The lights flickered when mentioned, and initials kept shifting, shifting like water. The same memo appeared in three boxes with different dates, or maybe I was in three meetings at once.","Someone asked about papers, wondering if we needed to sign. The partner mentioned marks, but I wasn't sure about runs, the runs, the endless runs through corridors that smell like toner. We had been working on codes that match nothing, match nothing, match the space between numbers. Initials shift like water on documents that exist and don't exist. I was in three meetings at once, or maybe the meetings were in me, and the barcodes spelled out my name backwards.",,,
,,,,,
7A,"I walked into the conference room and my manager asked me about the structured finance presentation. The equity-linked notes were spread across the table like animals in a zoo, and I could feel my bowel movements churning from the morning coffee. The cash box entities made no sense to anyone, but we had to present them anyway. Tom from accounting kept asking why the numbers didn't add up, didn't add up at all.","I walked into the conference room and my manager asked about the structured presentation. The equity notes were spread across the table like animals, like animals in a zoo, and I could feel my bowels churning from coffee. The cash entities made no sense but we had to present them with purple staplers that weren't there before. Tom from accounting kept asking why the numbers didn't add, didn't add, didn't add up.",,,
7B,"I walked into the conference and my manager asked about the structured animals. The equity was spread across the table like a zoo, like a zoo, and I could feel my bowels churning from purple coffee. The cash made no sense but we had to present staplers that grew legs and walked away. Tom from accounting kept asking why the numbers were made of glass, made of glass, completely transparent.","I walked into the conference and my manager was asking about structured animals in the zoo. The equity spread across the table like purple coffee, like purple coffee churning. The cash made no sense but staplers had legs and Tom was asking why. The numbers were glass, were glass, completely transparent but also somehow screaming.",,,
7C,"I walked into the conference and the manager was a structured animal in the zoo. Purple coffee spread across the table churning, churning like equity with legs. The cash staplers made Tom ask why, ask why the numbers were screaming. Glass, glass, completely transparent but somehow the zoo was inside my bowels.","I walked into the zoo and the structured animal was my manager's purple coffee. Churning, churning across the table with equity legs while Tom asked the screaming numbers. Glass staplers were somehow transparent but the conference room was my bowels, was my bowels, and the zoo was asking why, asking why I was the cash entity.",,,
,,,,,
8A,"Someone asked me about the equity hedges in the Cayman registrations, but Frank wasn't at his desk. I walked down the hallway where analysts had gathered around the fair-value models, all of them looking young, maybe fresh out of college. They were jumping between spreadsheets like children playing games, their breath smelling of stale coffee and anxiety. When I returned to my cubicle, I found it had been converted into a conference room.","Someone asked about the equity hedges in the Cayman files, but Frank's desk was empty—empty and cold. I walked down the corridor where analysts clustered around the fair-value screens, all looking impossibly young, like interns or babies almost. They kept jumping between numbers, between numbers like children, their breath reeking of something metallic and wrong. When I came back to my workspace, the walls had shifted into glass partitions.",,,
8B,"Someone mentioned equity hedges, Cayman something, but Frank's chair was spinning by itself. I walked down a hallway that stretched longer than before, where people gathered around glowing screens that showed nothing but static. They looked like toddlers now, actually toddlers in business suits, jumping and giggling at the flashing numbers. The air tasted of copper and bad breath, bad breath everywhere. My desk had become a boardroom table that wouldn't stop growing.","Someone whispered about hedges, about Cayman islands that don't exist, but Frank had melted into his chair. The hallway kept stretching, stretching like taffy, filled with tiny suited figures watching screens full of dancing dollar signs. They were definitely babies now, babies with briefcases, jumping up and down while the walls sweated numbers. The taste of pennies and rotting teeth filled my mouth, filled my mouth completely. Where my cubicle used to be stood a massive oak table that pulsed like a neck vein.",,,
8C,"Whispers about hedge mazes, about islands made of paper, but Frank was just a stain on an empty chair—empty chair, empty chair. The corridor had no end, populated by infant executives in miniature ties, applauding at screens showing only their own reflections multiplied infinitely. The air was thick with the stench of decay masquerading as mint, masquerading as mint, masquerading. My workspace had become a cathedral of mahogany that breathed and whispered stock prices in dead languages.","Hedge mazes made of money, paper islands floating in coffee cups, Frank dissolved into tax documents years ago—years ago, years ago, but still asking questions. Babies in power ties crawled through endless fluorescent tunnels, clapping at mirrors that showed nothing but the sound of their own applause echoing backwards. Everything tasted like the inside of an old penny, like the inside of an old penny filled with screaming. The building had eaten my desk and grown a conference table for teeth, always chewing, always chewing the same numbers that never balanced.",,,
,,,,,
9A,"Someone asked me about the credit limit on the Dynegy account, and I checked the squawk box twice. The bid/ask ladder showed 2054% which seemed wrong, so I called Tommy in Houston. He said they were flirting with bankruptcy but still had unused vacation days piling up, and the silent bell kept ringing every twenty minutes.","Someone asked about the credit on Dynegy, and I checked the squawk twice twice. The bid ladder showed 2054% which was wrong, so I called Tommy. He said they were flirting with bankruptcy but had unused vacation piling up, and the silent bell kept ringing every twenty minutes in the walls.",,,
9B,"Someone asked about Dynegy credit, and I checked the squawk twice twice. The ladder showed 2054% wrong wrong, so I called Tommy Tommy. He said flirting with bankruptcy but vacation piling up, and the bell kept ringing every twenty minutes inside the walls behind my desk.","Someone asked Dynegy, and I checked twice twice twice. The ladder showed wrong wrong, so I called Tommy Tommy. He said flirting flirting but vacation piling, and the bell ringing every twenty inside the walls behind my desk where the counterparty nicknames were written in pencil.",,,
9C,"Someone asked, and I checked twice twice. The ladder wrong wrong, Tommy Tommy. Flirting flirting vacation piling, bell ringing twenty inside walls behind desk where counterparty nicknames pencil pencil but the pencil was my handwriting from tomorrow.",Asked checked twice. Wrong wrong Tommy. Flirting vacation bell twenty walls desk nicknames pencil pencil handwriting tomorrow tomorrow but I haven't written anything yet and my hand is still moving.,,,
,,,,,
10A,"Someone asked if we finished the Death Star calculations for the ISO schedule. The power grid maps were still glowing on the conference room wall, and there were yesterday's leftover sandwiches scattered across the trading desk.","Someone asked if we finished the Death Star calculations for the ISO schedule schedule. The power grid maps were still glowing on the conference room wall, and there were yesterday's leftover sandwiches scattered across the trading desk with small ants crawling over the bread.",,,
10B,"Someone asked if we finished the Death calculations for the ISO schedule schedule. The power grid maps were still burning on the conference room wall, and there were yesterday's leftover sandwiches scattered across the trading desk with small ants crawling over the bread and into my coffee cup.","Someone asked if we finished the Death calculations for the calculations. The power grid maps were still burning burning on the conference room wall, and there were yesterday's leftover ants scattered across the trading desk crawling into my coffee cup which tasted like copper.",,,
10C,"Someone asked if we finished the Death for the calculations calculations. The power grid maps were still burning burning through the conference room wall, and there were yesterday's leftover ants scattered across my face crawling into my coffee cup which tasted like my own blood.","Someone asked if we finished the Death the Death. The power grid maps were still burning burning through my face, and there were yesterday's leftover ants scattered scattered across my coffee cup which tasted like the conference room wall bleeding copper into my mouth.",,,
,,,,,
11A,"I was sitting at my desk when someone asked about the fiber optic cables for Project Braveheart. My head was pounding from staring at those latency charts all morning, and I must have dozed off right there at the workstation. When I woke up, the numbers on the screen were blinking red, and I couldn't remember if we'd missed the deadline.","I was sitting at my desk when someone asked about the fiber optic cables for Project Brave—something. My head was pounding from staring at those latency charts, those latency charts all morning, and I must have dozed off right at the workstation. When I woke up, the numbers were blinking but they were blue now, and there was a coffee cup that wasn't mine sitting next to the keyboard.",,,
11B,"I was sitting when someone asked about the fiber optic—about the fiber cables for Project something. My head was pounding from the latency charts, the latency charts, and I dozed off at the workstation, at the workstation. When I woke up the numbers were blinking but purple now, and there was a small bird perched on my monitor, just staring at me.","I was sitting when someone asked about the fiber—the fiber something for Project, for Project. My head was pounding from the latency, from the latency, and I dozed at the workstation, dozed at the workstation. The numbers were blinking purple but when I looked again they were my grandmother's eyes, and the bird was speaking in Reynaldo's voice about deadlines.",,,
11C,"I was sitting when someone asked about the fiber, about the fiber. My head, my head was pounding from the latency, the latency, and I dozed, I dozed. The numbers were blinking but they were my grandmother's eyes, my grandmother's eyes, and the bird was Reynaldo speaking about Father Andrew's deadline that we'd already missed yesterday.","I was sitting, I was sitting. Someone asked about the fiber, the fiber. My head, my head, pounding, pounding, and I dozed, dozed, dozed. The numbers were my grandmother's eyes, grandmother's eyes, and Reynaldo was the bird was Father Andrew was the deadline we missed tomorrow that happened yesterday in the blinking purple fiber cables.",,,
,,,,,
12A,"Someone asked about the new draft and Bob Whalley said we could work on it. The Dabhol folders were stacked on his desk when he mentioned questions or comments. Down the hall, the janitor was running the vacuum at three in the morning. We'd see how it went over the next week, week, week.","Someone asked about the new draft and Bob said we could work on it. The Dabhol files were stacked when he mentioned comments. Down the hall, the janitor was running something at three in the morning, but it sounded like metal scraping. We'd see how it went over the next weak, weak.",,,
12B,"Someone asked about the draft and Bob said we could work. The files were stacked when he mentioned. Down the hall, the janitor was running something but it sounded like metal scraping against teeth. The fluorescent lights started humming the company anthem. We'd see how it went, went, went.","Someone asked about Bob and he said we could. The files were stacked when. Down the hall, something was running but it sounded like teeth scraping. The lights started humming the company anthem while dawn phone calls rang through empty cubicles. We'd see, see, see.",,,
12C,"Someone asked Bob and he said. The files when. Something was running but it sounded like teeth. The lights hummed while dawn phone calls rang through cubicles that were somehow underwater. Night sweats made the carpet soggy. See, see.",Someone Bob. Files. Teeth running. The lights hummed while phones rang underwater and night sweats made everything soggy but also burning. The janitor was Bob was the files were teeth. See.,,,
,,,,,
13A,"The supervisor asked if I could pull the Transwestern capacity release reports from November, saying the pipeline pressure gauges were showing inconsistent readings. I told him the schematics were already on his desk next to the layoff forecast spreadsheet. He nodded and mentioned something about indigestion from the cafeteria lunch before walking back to his office.","The supervisor asked if I could pull the Transwestern capacity reports from November, saying the pipeline pressure gauges were showing inconsistent readings readings. I told him the schematics were already on his desk next to the layoff forecast, but the papers had turned slightly blue overnight. He nodded and mentioned something about indigestion before walking back, though his footsteps sounded like typewriter keys clicking.",,,
13B,"The supervisor asked if I could pull the capacity reports, saying the pipeline pressure was showing inconsistent readings readings readings. I told him the schematics were on his desk next to the forecast, but the blue papers were now breathing slowly like sleeping animals. He nodded about indigestion before walking back, though I wasn't sure if he was still wearing his shoes or if his feet had become typewriter keys.","The supervisor asked about pulling reports, the pipeline pressure showing readings readings readings that contradicted themselves. The schematics on his desk were blue animals sleeping next to forecasts that predicted yesterday's weather. He nodded about indigestion but his head kept nodding even after he stopped, like a dashboard ornament, while his typewriter feet clicked him backward into tomorrow's office.",,,
13C,"Someone asked about pulling something, pressure readings readings readings that showed themselves backwards in mirrors that weren't there. Blue animals slept on desks that were also forecasts predicting the color blue, while nodding continued without a head attached. The indigestion had become a typewriter that clicked out footsteps walking into offices that existed only on Tuesdays.","Pulling readings readings readings from mirrors, blue animals forecasting themselves while desks slept in colors that typed. Nodding without nodding, indigestion clicking backward Tuesday footsteps into offices made of questions about pulling. The supervisor was the report was the animal was the pressure showing itself readings readings readings in a loop of November schematics.",,,
,,,,,
14A,"I was looking through the client binders when Margaret asked about the quarterly projections, her grey hair catching the fluorescent light as she shuffled the glossy brochures. The staged audit photos were spread across the conference table, and I noticed her runny nose as she kept dabbing it with tissues. Something about the numbers didn't add up, but the meeting room felt oddly warm despite the air conditioning running at full blast.","I was flipping through client binders when Margaret asked about the quarterly numbers, her grey hair catching the light as she moved the glossy brochures around. The audit photos were scattered on the table, and her runny nose kept dripping as she wiped it constantly. The numbers didn't add up, add up, but the room temperature seemed to shift every few minutes like a fever.",,,
14B,"I was going through client folders when Margaret mentioned the quarterly figures, her grey hair reflecting something strange as she handled the brochures. The photos from the audit were spread everywhere, and her nose kept running while a small television in the corner played static. The numbers wouldn't add up, wouldn't add up, and I could hear elevator music coming from inside the walls.","I was checking client files when Margaret said something about numbers, her hair now pure silver and somehow longer as she touched the shiny papers. Pictures were scattered across the surface, and her face was wet while a tiny screen showed snow in the corner. The figures kept changing, changing, and the elevator music was definitely coming from behind the drywall.",,,
14C,"I was holding folders when Margaret spoke about something, her hair flowing like mercury as she moved the bright rectangles around. Images lay flat on the dark surface, and water ran down her cheeks while a box of light hummed nearby. The symbols shifted, shifted, and wedding music played.","I held nothing when someone with liquid hair arranged colored shapes, their face streaming as a bright square made sounds. Flat things lay on darkness while numbers became numbers became something else, else, and the wedding music came from everywhere and folded back on itself like a warm envelope.",,,
,,,,,
15A,"Sarah asked me about the PRC grid calibration meeting and whether the high-potential list was finalized. I told her the MBA graduates were handling the exit checklists, but my back was aching from sitting through those endless reviews. She nodded and said the quarterly rankings would determine who stays and who goes.","Sarah asked about the PRC grid meeting and if the high-potential list was done. I said the MBA grads were doing exit checklists, but my spine was crawling with something that wasn't quite pain. She nodded and said quarterly rankings, quarterly rankings would show who lives.",,,
15B,"Sarah asked about the grid meeting and the potential list. I said the grads were handling exits, but my spine had small movements under the skin like insects reorganizing themselves. She said quarterly, quarterly would show who remains alive.","Someone asked about the grid and potential. I said exits were handled, but my back had things moving beneath, rearranging into new configurations of want. They said quarterly, quarterly reveals the chosen ones.",,,
15C,"Asked about potential. Said exits handled, but my skeleton was becoming something else, joints clicking into alien geometries. Said quarterly, quarterly, the selection comes for us all.","Potential. Exits. My bones sang frequencies that made the walls remember they were once trees. Quarterly selection, quarterly selection, we are being harvested.",,,
,,,,,
16A,"I was asked about the target-price posters hanging in the break room and whether we needed to update them before the investor presentation. The intern from accounting kept walking past my cubicle, probably heading to deliver those sell-side notes everyone was talking about. My supervisor mentioned something about conference lanyards arriving late, but I wasn't really paying attention because I was thinking about the snow banks outside.","I was asked about the target posters hanging in the break room and whether we needed to update them before the investor deck. The intern from accounting kept walking past my cubicle, probably heading to deliver those sell-side reports everyone was discussing. My supervisor mentioned something about conference lanyards arriving late, but I wasn't really paying attention because the snow banks outside looked like sleeping elephants.",,,
16B,"I was asked about the target posters in the break room and whether we needed to update them before the deck. The intern kept walking past my cubicle, walking past my cubicle, probably heading to deliver those sell-side reports. My supervisor mentioned lanyards arriving late, but I wasn't paying attention because the snow banks outside looked like sleeping elephants made of cocaine.","I was asked about the posters in the break room and whether we needed to update the deck. The intern kept walking past, walking past, probably heading to deliver reports. My supervisor mentioned lanyards, lanyards arriving, but I wasn't paying attention because the snow elephants outside were made of cocaine and investor presentations.",,,
16C,"I was asked about posters and whether we needed the deck. The intern kept walking, kept walking past, probably heading somewhere. My supervisor mentioned lanyards, lanyards, lanyards, but I wasn't paying because the cocaine elephants were giving investor presentations to the snow.","I was asked about whether we needed. The intern kept walking, kept walking, walking. My supervisor mentioned, mentioned, but I wasn't because the elephants were giving presentations to themselves and I was both watching and being watched.",,,
,,,,,
17A,"I was asking about the exposure ladders when Sarah mentioned the margin call emails had been sitting in her inbox since Tuesday. The cigarettes by the emergency exit were still smoldering, and someone had taped a sign that read ""imitation is the highest form of flattery"" above the collateral ratios spreadsheet. We needed to review the numbers before the afternoon meeting, but the hallway smelled like burnt coffee and something else I couldn't place.","I was asking about the exposure ladders when Sarah mentioned the margin emails had been sitting since Tuesday, sitting since Tuesday. The cigarettes by the exit were still burning, and someone had taped a sign about imitation above the collateral spreadsheet. The hallway smelled like burnt coffee and wet cardboard, the kind that makes your tongue stick to the roof of your mouth.",,,
17B,"I was asking about exposure when Sarah mentioned emails sitting since Tuesday, sitting and sitting. The cigarettes by the exit were still burning, but now they were burning upward like small prayers. Someone had taped a sign about imitation, about flattery, and the hallway smelled like wet cardboard that makes your tongue stick, stick to something.","I was asking about exposure, about exposure when Sarah mentioned emails sitting, sitting like small prayers. The cigarettes were burning upward now, burning through the ceiling tiles that had started to breathe. Someone had taped imitation, had taped flattery, and my tongue was stuck to the wet cardboard smell that wasn't a smell anymore.",,,
17C,"I was asking about asking when Sarah mentioned sitting, sitting through ceiling tiles that breathe like small prayers. The cigarettes were burning through my tongue now, burning upward and downward simultaneously. Someone had taped my mouth to the flattery that wasn't imitation anymore but something else, something that smelled like wet Tuesday.","I was asking Sarah about breathing through my tongue when the cigarettes mentioned sitting, sitting upward and downward like wet Tuesday. The ceiling tiles were burning through someone who had taped their mouth to something else, something that wasn't anymore. The flattery was smoking by the exit that smelled like asking, like asking about asking.",,,
,,,,,
18A,We need the California Public Utilities Commission management fees loaded into Lotus Notes before the migration deadline. I'm searching for a way to get this customer data into the job scheduler so we can better serve our clients. Please reach out if you have questions - I'll follow up next week about the implementation.,"We need the California utilities fees loaded into Notes before the deadline, the deadline. I'm searching for a way to get this client information into the scheduler so we can better serve them. The false-floor server room hummed with the sound of a child's music box, and I'll follow up next week about it.",,,
18B,"We need the utility fees loaded before the deadline, before the deadline. I'm searching for a way to get client data into the system so we can serve them better. The server room floor hummed with backwards music, and my sticky password kept repeating like a mantra - I'll follow up next week.","We need fees loaded before deadline, deadline, deadline. I'm searching for a way to get data into something so we can serve someone better. The floor hummed backwards and my password stuck like old gum, repeating, repeating, and next week I'll follow up with myself about what matters.",,,
18C,"Fees before deadline deadline deadline. Searching for a way to get something into nothing so we can serve no one better. The backwards gum stuck to my password and the floor hummed next week, and it only matters if you win when you're following up with the sound of your own voice.","Deadline deadline. Searching for nothing into everything so no one serves everyone. The password gum backwards hummed and next week matters only if you win by shitting the bed, following the voice that follows you into the sound of serving.",,,
,,,,,
19A,"I asked about the 401k matching contributions during the analyst meeting. Someone mentioned the frozen website access logs were showing revenge patterns in the data. The cholesterol numbers kept repeating, repeating in my head like a broken record.","I asked about the 401k matching, matching during the meeting. Someone said the frozen access logs showed revenge patterns, but the patterns were actually made of small ceramic elephants. The cholesterol numbers kept looping, looping in my skull like a prayer wheel.",,,
19B,"I asked about the 401k match during the meeting, the meeting. Someone said the frozen logs showed revenge elephants, ceramic and patient. The cholesterol kept looping, looping in my skull like my grandfather's dentures clicking against a coffee cup.","I asked about the match during the meeting, meeting. Someone said the logs showed ceramic elephants plotting revenge against the quarterly reports. The cholesterol looped, looped in my skull like dentures clicking, clicking against grandfather's coffee cup full of moths.",,,
19C,"I asked about the meeting, the meeting during the match. Someone said ceramic elephants were plotting against quarterly moths in the frozen reports. The cholesterol clicked, clicked like grandfather's dentures full of looping coffee cups and revenge.","I asked the meeting, meeting the ceramic elephants. Someone said quarterly moths were grandfather's frozen revenge against the cholesterol reports. The dentures looped, looped like clicking coffee cups full of 401k matches and plotting.",,,
,,,,,
20A,He asked about the top five people in the program and when they'd finish reviewing applications by July 10th. I'd been checking whether we needed one-way or two-way payment processing for the new hires. Could you forward this to my first-year distribution list in case we need more details from the synergy slides?,"He asked about the top five in the program, the top five in the program, and when they'd wrap up by July. I'd been checking whether we needed one-way payment or if it was two-way for the new contractors. The org chart kept rearranging itself every time someone opened the filing cabinet.",,,
20B,"He kept asking about the five people, the five people in the program and when July would end. I was checking payment, checking payment processing for contractors or maybe employees. The filing cabinet made sounds like his mother's breathing machine in hospice when you pulled the org chart drawer.","Five people asking, asking about July ending or beginning, hard to tell anymore. Payment processing, payment processing for someone, maybe contractors, maybe ghosts. His mother's machine, his mother's machine kept beeping through the unsent drafts folder every time the Crooked E logo appeared on screen.",,,
21C,"Five asking July asking five July people people. Processing payment ghosts contractors machine beeping. The Crooked E, the Crooked E logo eating the unsent drafts while his mother's hospice machine counts down the synergy slides backwards.",July five five July asking ghosts payment. Crooked E Crooked E eating eating drafts machine mother counting synergy backwards backwards. He lost his shit in the meeting but the meeting was also his mother was also the logo consuming itself consuming consuming.,,,
,,,,,
22A,How do we handle Sherron's memo situation? What exactly are these red flags we're seeing? We can't just glance at the meeting minutes and decide if we're the good guys or not.,How do we handle Sherron's memo? What are these red flags exactly? We can't just glance at the minutes and decide if we're good or not—there's a dead houseplant in the conference room that nobody waters anymore.,,,
22B,"How do we handle Sherron's—Sherron's memo? What are these flags? We can't glance at the minutes and decide if we're good, but the houseplant keeps growing ears where its leaves should be.","How do we handle—handle Sherron? What are these? We can't glance and decide if we're good, but the plant has teeth now, ears that whisper about deleted calendar dates.",,,
