seed_script,followup_1,followup_2,followup_3
"    'The conference table has plates set like a banquet. Each one has a stapler on it. Everyone is wearing name tags with the same name.',","Characters: 2 (---), 1 girl and 2 boys. Characters: 2 (---) boys, 1 girl. Interpretation No interpretation Answers to questions 2. None3.","In answer to questions 2 and 3, we can't recall the answer. The dream started with me in a little house which had an electrician come into my house. I told him and he said there were other people in town but could get out somehow. I said I was sure we were up here at once but since I could not go anywhere. Just as he came back home we were still inside by 8 after the storm.","Interpretation This is something like explaining a false dawn, the start date being the 30's or 40's. The dream seems to have been about a small fellow who appeared before coming to my house, whom I know very well, as being quite somebody but I don't have the right description."
"    'A voice recording plays on a loop in the server room. It’s describing a party. There is no party.',","The clock. Interpretation This could be part and whole story, but it is hard to believe because I don't recognize any one named Tom. Answers to questions 2) Actual participant3) No4). An employee5). Actual Participant6). Time: 19:00-20 pm7). Neither8). Time:00 am (I realize at night9). Something about: we never had a party.","Frank Thomas, my ex husband, has a dementia (there are two) that she needs answered to (my question 3). This must have been the one with Tom who lives here at Mather Center since he moved here in late winter.","At first it seems that I was at home or at some meeting, but I don't know if it was a meeting or a party, but I did see him there. I woke up, he said he had two. There is only one child in this dream). He said his parents had an accident, so he had us take them both out for the night! This surprised me; they had the next day come back home to their house!"
"    'There are chairs stacked to the ceiling in the copy room. Someone has climbed to the top. He’s adjusting the blinds.',","We talk about cards. I don't know what time I had  Then later I am driving in the car to take a shower, only instead choose me.",Interpretation No interpretation Answers to questions 2. Participant4. Actual participant5. None6. An English9. One who doesn't know me10. My English teacher  Answers to questions2.,"Answers to questions 2. Can't recall Answers not to questions 3pm: I am doing school work. At lunch, Father Andrew is giving the kids a day's breakfast and leaves before they have enough for their lunch meal. Answers were as follows: (in light)asymptomies - 4, noasymptomies - 5 6 1st of 8 is 4. A grade school work; not at night work."
"    'I find a PowerPoint slide printed on transparency film. It smells like ozone. The title reads: ‘How We Survive.’',",Interpretation No interpretation. Answers to questions 2. None3____ Answers to questions 2. Unpleasant3___ I am a teacher4_____ (There were two kids playing telephone. A boy was talking and this person came and said he heard him!,My answer must be I don't hear you. At the same time I was watching them. A little after the parents left I went to the home of a friend who is in my classes. I remember a very strange woman. He stood around holding her and she sounded very tired.,"It is a very fancy house. We were looking for him. Suddenly I heard someone call out to me in the phone. I recognized him as my father but he seemed dead and couldn't reach me. He was lying on the floor of my room, etc. Then it seemed as though he was holding us."
"    'A coffee pot is full but no one poured it. The clock above the machine is frozen at 2:17. A name is taped over the brand label.',","Interpretation My aunt is dead and it takes me very long to reach her--she's 20. I don't see anything at all strange about her: she's so young, she looks old with her hair stuck up from forgetfulness. Answers to questions 2. Happy3. Actual participant4. Pleasant5. No: None6. Neither7. We were friends; we played telephone games.",Answers to questions 2. It was very small and dark at night. Pleasant7 remembered going out with my brother and sister8.,Interpretation None[ores] Answers to questions 2. Perplexed3. Actual participant4. Setting: None 13. In his bathroom mirror 14. Answers to questions2.
"    'The hallway stretches longer than it used to. Doors appear and vanish. I open one into a second hallway.',","The door opens and a person is waiting in there, waiting for me. He has a greenish light from a window, I feel embarrassed and jealous of him. His phone rings on his answering machine. A man says he'll call me later and we get back together; he'd better have two men to talk to before I go through with my problem! He is sorta sad. She comes. We laugh, very sad.","Interpretation The next game at which I play was a letterman called G. G's (fist) voice from grade school, and I dreamed he's just such an odd voice. Answers to questions 2. Abusive3. Actual participant4.","Answers to questions 2. Pleasant 4. Participant5. Uncle6i 2nd dream: I don't really know where or how to get around on the lawn, but at least it has grass. It seems we're playing at home, I'm in my bedroom."
"    'The carpet smells like burned wires. I’m holding a remote with no buttons. The window looks into a breakroom with no exit.',","Interpretation No interpretation. I think the game is supposed to be real, but it looks more like an audience! Answers to questions 2.","Unpleasant51997-06- 23rd (___). Aunt Mary's house: by myself, as part of our family. Answers dreamt: pleasant7/3rd&#18 Meanwhile, on my way home: on the drive home at night when I get separated from my parents. We talk a lot and chat a lot.","We talk briefly about our new apartment, and the children will stay home while we wait for their owners! It is quite an privilege and I can't bear to sit alone with this man who wants me to go out with him while I have nothing to say. As I begin my search, he finally comes to find my car. It is almost too late; they have not arrived at his door, but it has been closed in."
"    'The printers are printing slogans. Each one says something different. I try to collect them in a folder that keeps disappearing.',","Interpretation I have only read one of the newspaper stories mentioned before. Answers to questions 2. Happy3-8 wonder4-12 explainer5-15 make16-20 other person21st (No interpretation) 22nd (Yes interpretation), hear others from23rd--no interpretation Answers to questions24. Actual participant26.","The game was much like game 7 but with 2 players. After the first two, I am in a large office on 2 sides and see no one else in the room at that time. No one else there. Before the game is over people are calling the manager. I say I'm sorry we missed our game today. We can leave and play until tomorrow when? When asked we reply by manager and I say that is Monday and then we can go up to the meeting. So I answer.",Interpretation The last two games were real fun.
"    'The HR department has been turned into a terrarium. Tiny sticky notes bloom like flowers.',",Interpretation None Answers to questions 2. Actual participant41997-06-01 19-- Alsounknown5-10 minutes after starting the game6 - At home sitting in the living room of our house and we heard the doorbell ring. It was  Answers to questions7.,There is no answer or recollection of any particular game at this time. See WALLY in bed. He sits with me in my room!,"Interpretation I think the game played here is the BJ, but for waking we play> This seems somewhat strange; it seems like he doesn't have much else going on. Answers to questions 2. Happy3rd and happy4. Actual participant7."
"    'The legal team works from a sunken pit. They pass folders to each other without making eye contact.',","In this game the teams 1 and 2 call for help. We get the ball up, but not before some other people come in, one or two of them boys. They are complaining how the coach is playing on the phone so nobody can hear. So I go home and find myself in a very expensive apartment with my father and brother (M). I am tired. Then the coach comes out and asks if we are playing again and asks if I want to watch sports. I say: No. He says we're also playing basketball. Our sport we always play is tennis. You have to call over to keep track of games which seem like men's basketball. I notice a new players all over.",Answers to questions 2.,Interpretation I am very worried about my fingers and fingers and fingers and I'm not sure if they are going to work in the right hand. Answers to questions 2. Participant4th grade class Answers to questions 4.
"    'The exit signs flash red, then green, then off. A manager is standing under one with a binder open to a blank page.',","Interpretation I had seen a game with my mother on the radio. She was holding down a wire and I watched her as she played the game. I felt like it was wrong and I felt bad to think of having seen it. I don't know if I asked her to excuse me. Answers to questions 2. Waking, groggy3. Actual participant4. Neither7. Can't remember.",See children in room where we were playing (my school - no friends there.,"Interpretation None Answers to questions 2. Very tired: feeling oflessoned. Actual participant, none of us. Answers to questions 4. No answer - there is no possible. Answers to questions 5. Happy6. Our house was made so."
"    'An old monitor flickers through 2003 Q4 over and over. I try to turn it off, but it hums louder.',",Interpretation This dream could have been because I had my first clue as an elementary school boy when one day I played with two other boys whom they don't know. Answers to questions 2. Answers to question5].,"Spanish (in English)  At home I am busy making calls and playing telephone games but then get up late to go for the game. I need several cards to call but keep making repeated answers, then forget which number. They throw one-half of these out when I start the phone and I have to call the third one or there. There is a storm coming and we have to hurry, so we end up on one side of the island.",Interpretation This is my oldest dream. We were on vacation this summer in Spain. I dreamt that I was driving back from the other land. I do not remember the game quite well; I don't remember my final answer very clearly. Answers to questions 2.
"    'There’s a single banana in the fridge with a barcode sticker. No one has touched it since the layoffs.',",Interpretation None Answers to questions 2. I wish my sister were playing the game. She is the player. Answers by night 3. Answers to questions2. It is raining.,"There is another game called Skiingask which I like. This may be something I was doing at school, but am not sure. Answers to questions 2. No answer6.",Interpretation None Answers to questions 2.
"    'The wall calendar ends in June. Someone has drawn a black X over every Tuesday. The rest are blank.',","My mother's father catches me eating cafeteria crackers with pieces from another patient (a woman) on the way home. The patient is my sister who lives there, also a student. We talk about money. I see him putting in his pocket books. He has 2 bills and then has 10 pieces of paper.",Interpretation No interpretation. Answers to questions 2. Afraid3. Participant41997-06- 14; My mother asks for a shower with her 1:00pm - 6:30 pm.,"Answers to questions 2nd and 3rd place: 4. At table, I see a man who is very friendly; he asks me questions about tennis in Australia."
"    'All the clocks are wrong, but they agree with each other. No one is wearing a watch.',","Interpretation I think this game has been confused by several people with whom we were playing but I am not certain. In real life I have no idea why it was possible to get a watch instead. Answers to questions 2. Happy3. Actual participant4____ (First person). We decide to try out for a game of telephone, but we don't really do it. This is for test of my ability. Our play goes fine: we do well and everything is OK. Dream ends; good!",There may be further questions that need answered so continue below. Answers to questions 2. Participant1___ (male). Can't recall any other things about my life since last dream last night. Woke. All smiles.,"And then as I thought of answers, someone brought me a box of paper which contained the answers to all the questions above and about 5/8 thru them. It was a big yellow piece with a picture on it of a boy, 3 years old who used another friend after a long war, an Indian boy but he never became friends. There was no answer, though I thought to myself: This is very strange!"
"    'I find a mug that says ‘TRUST RISK’. It’s filled with thumbtacks.',",Interpretation No interpretation; just another name for 3 words or less.,"Answers To questions 2. The same people who were playing the game with me also tried to answer some of my questions. Yes, the same people who were playing on the telephone also. Answers To questions5. Happy6____ We are playing telephone game on our porch. Unpleasant9. Actual participant10. Home: at home: at the beach.",Interpretation I have two fearings about suicide. I have found a small number of pictures and dreams of sad lonely people who died. Then a friend of mine asks me which picture is the best; if it is one of the great psychologist Dr. S -- who died 12 or 15 years ago. I say good picture.
"    ""A meeting was scheduled in a room that doesn't exist. The invite still pings my Outlook every morning."",","My mother and I have to bring our ward-phones; we had forgotten about them. A man says he won't help him set up a party at our house--my mother tells me he has been asked to give the best one. And I tell him they can use mine. Later, I find my father's watch. It wasn't long ago when I went back to his house to get it again but it's only three o'clock now!",Interpretation None. Answers to questions 2. Happy3.,"No other answer. See some books with many words in them, colored pictures. Don't know if they're right or not and I realize then I have my questions open. No interpretation on this part. Answers to questions 2. At night, in my basement office - at home - my office."
"    'I’m inside a supply closet filled with business cards. They’re all blank except for a name I’ve never heard.',","Interpretation The game was played between myself and my mother, who seems quite usual. It seems as if we were playing telephone games. Answers to questions 2. Happy3. Actual participant4. My sister is7. No Answers by phone: None8. Anxious9.","Next morning I see many more people around. We are playing with the same telephone players I do: 3 men with 2 small children, 2 boys. They seem very happy with me and talk to me.","Interpretation No interpretation or interpretation. Answers to questions 2. Happy. On paper may be enough reason to play again. Answers to questions 2. Actual participant3. Friends, family4. Neither5. In real life no Answers to questions8."
"    'Someone stapled a severance check to the whiteboard. There’s a smiley face drawn in red marker.',",Interpretation I realize that I have no intent except for making fun of someone's work. Answers to questions 2. Participant7. Neither8. No10. No emotion11. Can't believe12. Annot happy13.,"Answers to questions 2. That I have no intent but it doesn't matter. Participant3rd or fourth time: I was tired in bed with two or three other people. During the game we have many phone calls, but nothing we can do. Answers dream: Yes 8.",Interpretation No interpretation. Answers dreamed 2. Actual participant3. No one who answered6. Neither7. No color8. No action. No result9. No setting: outside in the yard.
"    'The floorplan of this office matches the floorplan of my childhood home. I’m not surprised.',","Interpretation My wife Bonita and I were sitting on a couch with my children on the sidewalk. The next day I asked my father why we were playing telephone, since he is the only one who can answer Answers to questions 2. Happy3. Participant41997-05-06:005- hesitate6- 12. Can't recall7- 17. No8- Actual participant9- 22.",Answers to questions 2. None24 - details25 -No months ago 26 - At our house we had dinner with my old boys.,"Interpretation Just as I remember, it seems we had dinner with our old friends. Answers to questions 2. Anxious. I don't know why. Cheerful. I know they mean dishes but feel frustrated because we don't eat. Answers To question 4. Happy6. This might not be so."
"    'A robotic voice announces ‘market open’ every three minutes. The windows are blacked out.',","However, the voice is very familiar and comes from a nearby phone. At any rate it sounds like me, I'm there. The phone is set up by a bunch of wires. It's so similar in layout to reality that I can only take one touch at a time. At this point my family and friends are trying to tell me a story or something about Robert de N's death, and my uncle's rise in the world. I know from watching the video his rise as a child how he went through life before being taken into the earth.",Interpretation None Answers to questions 2. Happy3. Participant4_____ (1) Actual participant5.,"The phone is not correctly connected with other participants. Participant6______ said (I had  - I go to see my Father, but I can't get to the entrance without using this black door instead of the metal one at entrance to get it. I am walking upstairs very slowly. It must be difficult. My bed is covered in black leaves and the floor isn't too white; then I ask my mother to fix it and find out how tall she is."
"    'The elevators go up but not down. There’s a line of people waiting anyway.',","We won't play till after 4:30 am. At about 8am we start to play again. But I am worried about my brother's ankles. All by himself in a city, in a hotel lobby. I have to walk to see with him to the hospital, since it is so early. At least we seem confident of results; that's okay. The night comes and I forget to make one more phone call ofclock. I try to turn on a CD player but my hand is out of control. BL] - So the next morning we start to play at 12am, when we call an neighbors. In our apartment.",Interpretation No interpretation of this dream. Answers to questions 2. Anxious3.,"Answers to questions 2. I'm glad there is no interpretation on this answer. On 8th of October, a friend (male) answered 3i> floatation question 4th of October asked (in the dream) 5. What is the meaning or purposes behind the answers? Some may be clear but others may be confused. At least some may not be clear, and others may change at any time. At one point, some answers can't be found (not clear)."
"    'The same man walks past the same conference room at the same time every hour. No one acknowledges him.',",Interpretation No interpretation. Answers to questions 2. Perplexed6. Technical9__________ My father is on the telephone and it is only 5:15 o'clock. We are playing the game of telephone! My brother in the store is upstairs.,"French. If I can't remember how to do so, my father might call the French person upstairs. I hear very strange voices. Then later I take an exam. I am confused but cannot be late. What happened? The French person was trying to tell me what sort of testing we were doing; this was for whether or not certain tests were tested. The answer were two classes and three questions. Just as I seemed disturbed by it though I could recall. The next I was only certain about a certain finding a good answer with which--(if notunknown.","Later on this same person was again asking questions on some questions which I thought were quite strange. I am told I can't recall all these answers. If you knew enough of them, then one would be sure of answers at least. What follows is the second among the answers."
"    'There are no trash cans, but I keep finding receipts.',",The game doesn't seem very important. It is just a game. Interpretation No interpretation. Answers to questions 2. Happy3rd thought4.,Interpretation No interpretation. Answers to questions 2.,"After having made answers, I dreamt about going up mountain, and there were many dogs; I felt fear when I looked up. All at once the two dogs came down, but one kept on straining when he reached the ground. Then I was able by some maneuver to make it to the top. I then seemed not too far from home (I believe). The last night I had dreams which seemed to have been caused because I had seemed to be very lonely. Interpretation None Answers to questions 2."
"    'A rubber plant blocks the hallway. It wasn’t there yesterday.',",Interpretation No interpretation. Answers to questions 2. Happy3. II-15). Unpleasant14. We played a game of telephone.,"Answers to questions 1 & 2. Yes 3. No 5. None Answers to question 1--(woke)2. There was no answer but if our players try again, we can hear but we cannot make out what Answers dream=1 Noptingi>Yes I feel! The game is pleasant. Very happy3. Actual participant4. This seems to be my sister5.","Interpretation 2. My parents have said it is not the right answer. They say it isn't. If a man tries we will hear it. Some argument happens. I am upset. No 4. We have not been able to hear the answer. The man's name is Joe, who at home from Muddville and we know he may steal."
"    'My badge doesn’t work, but the door opens when I think about 1999.',","Interpretation I may have been playing the game by mistake while still playing. It may be difficult for me since my parents and brothers and sisters have neither any chips nor any money to pay for the games, but I feel comfortable and get comfortable playing. My friends and family have left for an hour or so, with no breakfast. Answers to questions 2. A-Yuge dream! Nite (girlfriend) is smiling and very happy; it's funny because she can't talk! How come on to eat all the food?",Answers to questions 2. Happy3. Actual participant4.,"Amerika  I play with children in the mall; there is a new game going on and I feel its pleasantness until my partner brings me home and he looks at me like, Whoa! My partner's away. I say this so he won't hurt me. When we leave, I look out and see many people in one of the booths playing; he goes to his car and we talk. There has gone for awhile but he says he will help me find them and we dance alone and kiss."
"    'A flowchart on the wall ends with the word ‘forever’.',","It is one of those games where I wake up and look at things and see beautiful lights appear at the places I want them. A woman says to her son our game is just like it, and then tries again. He runs away from me because he has to go. And I am playing an instrument called the  Four tack and then someone else asks for help with keys.",Answers to questions 2. Wakened3. Mild smiles5.,"But I don't have anything but milk. I'm at my house in the west end (a short hallway). A woman from college, her name is Hillary runs by. She was a very good friend to me. She gave me presents when we walked in she asked me why I wanted some of them. For some reason after class I had to pay for them. I called her daughter - she asked where I got all the ones from then--and now I can't remember their address exactly but could not tell."
"    'The lights buzz louder when I speak. When I stop, they go silent.',","Interpretation None. Answers to questions 2. Actual participant5. Unpleasant8-12:10(Woke at 3:00 on an morning), and I was having trouble remembering words when the lights came on. I kept wondering about using another phone. Answers taken: 1) feelings; (2nd dreamer3 out of sleep4 familiar5 more distant6.",,"Interpretation I was very happy after a week of playing the game when I did not like it! I am now back at home, talking with my boyfriend who is leaving for Europe in a few days and I forgot to ask him about the game when I got off the plane with him (a friend of mine). Answers to questions 2. Happy3rd night4. No answer9. An acquaintance of mine10."
"    'There are chairs set up for a presentation. No one is in them. The slideshow is advancing on its own.',","We play an important game of table tennis. A boy, 10 years old, likes to wait on tables in a group. I hear him remark that he is not  mature enough. He is not much taller than me and has brownish skin. It will be difficult--but fun to be with him. Later there's something about some dishes or trays. It was raining and there were few rooms. I find a small kitchen with many tiny rooms and narrow wooden stairs. Others have very slow tapestries which make a mess on each one. Others take turns at each room. I turn over one to go down one room with a boy when he gets out and show him. He sees and we are happy.",Then it gets dark and I hear a couple in a room I recognize. We both decide to go for a walk.,"Interpretation I was a player in a game last night, but there was nothing else. Answers to questions 2. None31997-05-16 ( besides just the telephone). No emotion5233 -06-06-10 asks a professor."
"    'The smell of copier toner is strong. I haven’t seen a copier in days.',","But I can't recall it. I hear music. My sister (30) is a nun at home and I talk about taking care of my sister for Christmas. Suddenly we have been searching for her for over 2 years. We see an old store with white furniture. In it are a beautiful dress, a white dress (the kind often given to us by our grandmother who died in 1950). I arrive at the university building which seems all decorated, including old furniture. Two young ladies are waiting to go to class. I walk with them.",Then I am somewhere else; a very high mountain/terrands. I think I must find our house because it is so steep. An old lady says this will be easier. We go into a hotel. There are many rooms and there are lots of guests who seem to be in hurry!,"Then we leave and I am aware I had left my purse in the car. See Howard talking to a girl I knew. She gives him an shove but I have never seen this move. Vivid image) WALLY comes to see me and says: There was a bad movie you watched last night? I asked his girlfriend Why did not you see it? He replied with a smile. Oh, she said, Because you had invited me. That's like a dream that he didn't know."
"    'An email I sent ten years ago prints itself out. The subject line reads: ‘don’t open this.’',","Interpretation This is a game of telephone that I have played recently with my sister. Answers to questions 2) My brother and his 3year old sister were playing the phone. Participant4, 8:00 am5; sun-up, 4:30am6; dark green, 5:20 pm Answers to questions 7. Actual participant2. Participant3.","And onswersTABLE Answers to question - finish 2:15 am, and I call my sister over to let her know what my brother wants with him (a girl called Mrs. Characters; (no direct personal identification).","At the end we get to play, but after a long time they go missing. Setting: In my room (in my house), a phone booth, and hall, and hall (in my room) bathroom."
"    'A whiteboard has been erased so many times it’s turned gray.',","It is his father. He said: I like you. The phone was being repaired and the fix was coming. My mother awoke but her voice kept repeating Moe, not my name. W-- is on the phone and I hear her telling me that there are two roads that I can't follow because they lead in slow traffic. As she talks I look at her arm as well. She says she has crossed them, with great difficulty.",Interpretation I know I haven dreamed of crossing these two roads.,Answers to questions 2. Next dream: Answers to question 7. No10. No pain13. Very happy15.
"    'My inbox is full of drafts I didn’t write.',",Interpretation At a school and at my home this is a game where I had to do a great deal;  Yes it was really not. A lot more time spent playing. We leave at 5 am-- When I leave it is nearly 3 o'clock (at least all the time after dinner at 7--).,"Answers to questions 2. Happy3. Participant4____5. Anastasia, Anastasia's answers may be8. In reality9.",Interpretation No interpretation. Answers to questions 2. The numbers in my dream were 16- Ninety (which doesn't occur to me). I asked somebody which is it? I could see or hear in the answer--or else I didn't know the answer.
"    'There’s an award plaque on the wall. It’s dated two years from now.',","Somehow I went into the game room with 3 other people in an empty room. I saw two small girls playing some sort-of game, like a computer game of words (although I didn't see any physical results - I'm not sure of how it was done). One was lying on her back and the other one her head resting on her pillow. There was a glass window between each girl's eyes and one seemed perfectly normal. I heard 2 toilets. One was large, which was in a garage area, and next to it were two large, long windows. These were similar inside to the larger doors, however they had seats at the far end of the long, narrow doors.",,Interpretation I'm having difficulty with the process. I have to wait for someone to complete it. Answers to questions 2. Happy3- Participant4___________ I try to explain that my father has been on a ship in his 20's; and that his boat was sailing too. He is not in the dream but as I think it might be: I have not actually answered the question. Answers to questions 2.
"    'I climb into a cubicle that’s somehow upstairs.',","It is dark and stormy. My bed is crowded with loose things. I want only one bed so no one can see me out the front door. I don't want my furniture to be visible at first because it will get stormy. My desk is moved around. I try not to look up because it gets dark before. Then I realize it's time for bed. I look down on the top bunk to see what floor is bare. I tell someone I'm leaving my bed but he says No, you have to find another. But I say Yes, to help me find it when I can. I want mine because the room is filled with something you don't know you can't see.",,"Then I'm playing on a street car by myself. The car is very slow, so I try moving fast to reach cars. A couple comes along and see me coming and want my turn! But it isn't my turn, so they hurry back and get out. I go up a stairway or a staircase and I hit some objects but still get out ok. Later I say: I hope you don dreamed how we played here. Another child (M) is playing with an old woman at an open place near us. At table: she puts on a colorful glasses. One of them has lots of small eye drops."
"    'The coffee machine only dispenses milk.',","Interpretation I had been playing my role-playing game with two girlfriends of mine and her youngest sister. Answers to questions 2. Actual participant3. A little boy4i>Setting: In our kitchen at home. No possible recollection of past actions Answers dreamed 6. An officer that works in the kitchen with us -- I can't remember who it was, and he tells us nothing.",Answers to questions 2. No 12.,"Interpretation No interpretation Answers to questions 7 and 10 2). A lady (50 years old) came to our house but I don't know why, and I think she gave me something that I thought might help her. We are both playing golf. No 14. Actual participant15. Unpleasant17. On the street. I walk into a store/store."
"    'I overhear a conversation about me, but I’m the only one in the room.',","Someone tells me to ask his wife to bring her phone and she does so. But she says that no one can answer that message and is suspicious of my success with it; I think the person I asked is not her. There is an angry woman at the top desk and the phone rings: Tahtub (not Taht Tahtape) answering. Then I know she means that I have already answered it, and I try again! I keep saying Yes, and that's all. I am now being taken away with the group in another room where we play telephone games.","Interpretation Something about whether to change messages from newspaper newspapers to television is not clear, but may be because the message from Dr. Brown is not clear; may also cause me to feel anxious or tired or upset.",Answers to questions 2nd lie3rd follow-up unknown4th cannot recall5; bottom of dream - I am at my mother's house and she asks me about my sleep: Why did you sleep? Answers to questions2.
"    'A screensaver shows a city skyline that’s underwater.',",Interpretation This is an area I've heard about before. Other players in this dream were familiar and that they had been mentioned. In real life this was a familiar town. There was something to do with football -- I can't remember why I think it is. Answers to questions 2. None3. Answers to questions5. Happy7. Actual participant; no8. Just outside my home on St. Helens.,"Answers To quarters(incomplete) [illegible] Characters: 2 friends, one whom I cannot name, and another who is unknown. I'm not sure of their identity; we're standing around the street, looking at houses.","Interpretation None Answers to questions 2. Perplexed: My feelings are very mixed because I think it may have had something to do with money. The dream may also be related to my problems with banks because I think I always have trouble with banksters. I had trouble manage really well, in this game!"
